Pteropodid-Plant Interactions Database 1985-2020													
S.A. Aziz, K.R. McConkey, K. Tanalgo, T. Sritongchuay, M-R. Low, J.Y. Yong, T.L. Mildenstein, C.E Nuevo-Diego, V.C. Lim & P.A. Racey													
													
Fr = fruit (including fig syconia); Fl = flower (including nectar and/or pollen); L = leaf; Se = seed ingested; B = bark; T = twigs; Sa = sap													
C = conflict; D = diet; FM = foraging movement; P = pollination; SD = seed dispersal; SG = seed/spore germination ; NOTE that 'aspect studied/recorded/observed' does not necessarily mean the bat was confirmed as playing that role.													
NB: Genus or species epithets followed by (?) are those that were either not found in theplantlist.org or are unresolved, and could not be definitively identified or confirmed.													
													
Pteropodid species	Plant family	Plant genus	Plant species	Fr	Fl	L	Se	B	T	Sa	Country/ Region	Reference	Aspect studied/recorded/observed
Pteropus dasymallus	Fagaceae	Quercus	miyagii		x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Fagaceae	Quercus	miyagii		x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM
Pteropus dasymallus	Gingkoaceae	Gingko	biloba			x					Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Lauraceae	Cinnamomum	pedunculatum			x					Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Lauraceae	Neolitsea	sericea		x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Lauraceae	Neolitsea	sericea		x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM
Pteropus dasymallus	Lauraceae	Persea	thunbergii			x					Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Lythraceae	Sonneratia	alba		x						Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Malphigiaceae	Malphigia	glabra	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Malphigiaceae	Malphigia	glabra	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Malvaceae	Bombax	ceiba		x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Malvaceae	Bombax	ceiba		x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM
Pteropus dasymallus	Malvaceae	Bombax	ceiba		x						Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Malvaceae	Ceiba	speciosa		x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Malvaceae	Ceiba	speciosa		x						Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Meliaceae	Melia	azedarach	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Meliaceae	Melia	azedarach	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Meliaceae	Melia	azedarach	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Menispermaceae	Stephania	japonica	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Broussonetia	papyrifera	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	ampelas	x							Taiwan (Gueishan)	Chen et al., 2017	D, SD
Pteropus dasymallus	Moraceae	Ficus	ampelas	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	ampelas	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	ampelas	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	benguetensis	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	benguetensis	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	benguetensis	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Ficus	benguetensis	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	benguetensis?	x							Japan (Iriomotejima)	Lee et al., 2017	FM
Pteropus dasymallus	Moraceae	Ficus	elastica			x					Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	erecta	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Moraceae	Ficus	erecta	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	erecta	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	erecta	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	fistula	x			x				Taiwan (Gueishan)	Chen et al., 2017	D, SD
Pteropus dasymallus	Moraceae	Ficus	irisana(?)	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x							Taiwan (Gueishan)	Chen et al., 2017	D, SD
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x		x					Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Moraceae	Ficus	microcarpa					x			Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x		x		x	x		Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x		x					Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x							Japan (Okinawa-jima)	Nakamoto et al., 2016	FM
Pteropus dasymallus	Moraceae	Ficus	microcarpa	x							Japan (Iriomotejima)	Lee et al., 2017	FM
Pteropus dasymallus	Moraceae	Ficus	pumila	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Moraceae	Ficus	pumila	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	sarmentosa	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	sarmentosa	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	sarmentosa var. nipponica	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	septica	x			x				Taiwan (Gueishan)	Chen et al., 2017	D, SD, SG
Pteropus dasymallus	Moraceae	Ficus	septica	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	septica	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Ficus	septica	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	septica	x			x				Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	septica	x							Japan (Iriomotejima)	Lee et al., 2017	FM
Pteropus dasymallus	Moraceae	Ficus	subpisocarpa	x							Taiwan (Gueishan)	Chen et al., 2017	D
Pteropus dasymallus	Moraceae	Ficus	superba	x		x					Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Moraceae	Ficus	superba	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Ficus	superba	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	superba	x		x					Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	superba	x							Japan (Iriomotejima)	Lee et al., 2017	FM
Pteropus dasymallus	Moraceae	Ficus	superba var. japonica	x		x					Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	variegata	x		x					Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	variegata	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	variegata	x			x				Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	variegata	x							Japan (Iriomotejima)	Lee et al., 2017	FM
Pteropus dasymallus	Moraceae	Ficus	variegata var. sycomoroides	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Ficus	variegata var. sycomoroides	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Ficus	virgata	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Ficus	virgata	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Ficus	virgata	x							Japan (Iriomotejima)	Lee et al., 2017	FM
Pteropus dasymallus	Moraceae	Ficus	spp.	x							Japan (Yaeyama Islands)	Vincenot et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Morus	alba	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Moraceae	Morus	australis	x							Taiwan (Gueishan)	Chen et al., 2017	D, SD
Pteropus dasymallus	Moraceae	Morus	australis	x		x					Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Moraceae	Morus	australis	x	x	x			x		Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Moraceae	Morus	australis	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Moraceae	Morus	australis		x		x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Moraceae	Morus	australis	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Musaceae	Musa	balbisiana	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Musaceae	Musa	balbisiana	x	x						Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Musaceae	Musa	spp.	x	x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Musaceae	Musa	spp.		x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM
Pteropus dasymallus	Musaceae	Musa	spp.	x							Japan (Yaeyama Islands)	Vincenot et al., 2015	C
Pteropus dasymallus	Myricaceae	Myrica	rubra	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Myricaceae	Myrica	rubra	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Myrtaceae	Psidium	guajava	x							Taiwan (Gueishan)	Chen et al., 2017	D
Pteropus dasymallus	Myrtaceae	Psidium	guajava	x	x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Myrtaceae	Psidium	guajava	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Myrtaceae	Psidium	guajava	x	x						Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Myrtaceae	Psidium	guajava	x							Japan (Yaeyama Islands)	Vincenot et al., 2015	C
Pteropus dasymallus	Myrtaceae	Syzygium	cumini	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Myrtaceae	Syzygium	cumini	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Myrtaceae	Syzygium	jambos	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Myrtaceae	Syzygium	jambos	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Myrtaceae	Syzygium	jambos	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Myrtaceae	Syzygium	samarangense	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Myrtaceae	Syzygium	samarangense	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Oleaceae	Osmanthus	marginatus	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Pandanaceae	Pandanus	odorotissimus	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Pandanaceae	Pandanus	odorotissimus	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Pentaphylacaceae	Eurya	emarginata	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Pentaphylacaceae	Eurya	japonica	x							Taiwan (Gueishan)	Chen et al., 2017	D
Pteropus dasymallus	Pentaphylacaceae	Eurya	japonica	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Phyllanthaceae	Bischofia	javanica	x	x				x		Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Phyllanthaceae	Bischofia	javanica	x							Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Phyllanthaceae	Bischofia	javanica	x	x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Poaceae	Saccharum	officinarum	unknown							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Poaceae	Saccharum	officinarum	Upper stem							Japan (Yaeyama Islands)	Vincenot et al., 2015	C
Pteropus dasymallus	Podocarpaceae	Podocarpus	macrophyllus	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Primulaceae	Ardisia	sieboldii		x						Taiwan (Gueishan)	Chen et al., 2017	D
Pteropus dasymallus	Primulaceae	Ardisia	sieboldii	x		x					Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Rhamnaceae	Rhamnus	liukiuensis	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Rosaceae	Eriobotrya	japonica	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Rosaceae	Eriobotrya	japonica	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Rosaceae	Eriobotrya	japonica	x							Japan (Yaeyama Islands)	Vincenot et al., 2015	C
Pteropus dasymallus	Rosaceae	Prunus	campanulata	x	x						Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Rosaceae	Prunus	campanulata	x	x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Rosaceae	Prunus	persica	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Rosaceae	Prunus	persica	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Rosaceae	Prunus	persica	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Rosaceae	Prunus	serrata var. spontanea	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Rosaceae	Raphiolepis	indica		x						Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Rubiaceae	Paederia	foetida			x					Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Rutaceae	Citrus	depressa	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Rutaceae	Citrus	poonensis x sinensis	x							Japan (Okinawa-jima)	Charerntantanakul et al., 2019	C
Pteropus dasymallus	Rutaceae	Citrus	spp.	x							Japan (Yaeyama Islands)	Vincenot et al., 2015	C
Pteropus dasymallus	Rutaceae	Murraya	paniculata	x	x						Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Salicaceae	Idesia	polycarpa	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Sapindaceae	Dimocarpus	longan	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Sapindaceae	Litchi	chinensis	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Sapotaceae	Palaquium	formosanum	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Salicaceae	Idesia	polycarpa	x			x				Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Sapotaceae	Palaquium	formosanum	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Sapotaceae	Pouteria	obovata			x					Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Sapotaceae	Pouteria	obovata	x							Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM, SD
Pteropus dasymallus	Sapotaceae	Pouteria	obovata	x							Japan (Iriomotejima)	Lee et al., 2009	D, FM
Pteropus dasymallus	Smilacaceae	Smilax	spp.	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Staphyleaceae	Turpinia	ternata	x							Taiwan (Gueishan)	Chen et al., 2017	D, SD
Pteropus dasymallus	Staphyleaceae	Turpinia	ternata	x							Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Strelitziaceae	Ravenala	madagascariensis							x	Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Strelitziaceae	Ravenala	madagascariensis		x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM
Pteropus dasymallus	Symplocaceae	Symplocos	lucida		x						Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Theaceae	Schima	wallichii liukiuensis		x				x		Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	Theaceae	Schima	wallichii liukiuensis		x						Japan (Okinawa-jima)	Nakamoto et al., 2009	D, FM
Pteropus dasymallus	Theaceae	Schima	wallichii liukiuensis		x						Japan (Okinawa-jima)	Nakamoto et al., 2015	D, FM
Pteropus dasymallus	Vitaceae	Ampelopsis	brevipedunculata	x							Japan (Kuchinoerabu-jima)	Funakoshi et al., 1993	D, FM
Pteropus dasymallus	Zingiberaceae	Alpinia	intermedia	x					x		Japan (Okinawa-jima)	Nakamoto et al., 2007	D, FM
Pteropus dasymallus	unknown	unknown	unknown	unknown							Japan (Okinawa-jima)	Nakamoto et al., 2012	FM
Pteropus fundatus	Arecaceae	Cocos	nucifera		x						Vanuatu (Mota)	Lavery et al., 2020	D
Pteropus fundatus	Lecythidaceae	Barringtonia	edulis		x						Vanuatu (Mota)	Lavery et al., 2020	D
Pteropus fundatus	Musaceae	Musa	spp.		x						Vanuatu (Mota)	Lavery et al., 2020	D
Pteropus fundatus	Myrtaceae	Syzygium	malaccense	x	x						Vanuatu (Mota)	Lavery et al., 2020	D
Pteropus fundatus	Pandanaceae	Pandanus	spp.		x						Vanuatu (Mota)	Lavery et al., 2020	D
Pteropus giganteus	Amaranthaceae	Bassia 	eriophora	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Amaranthaceae	unknown	unknown		x						Nepal	Tiwari et al,. 2019	D
Pteropus giganteus	Anacardiaceae	Anacardium	occidentale	x							India	Chakravarthy and Girish, 2003	C, FM
Pteropus giganteus	Anacardiaceae	Anacardium	occidentale	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Anacardiaceae	Anacardium	occidentale	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Anacardiaceae	Lannea	coromandelica	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Anacardiaceae	Mangifera	indica	x							India	Dookia and Tak, 2004	D
Pteropus giganteus	Anacardiaceae	Mangifera	indica	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Anacardiaceae	Mangifera	indica	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Anacardiaceae	Mangifera 	indica	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Anacardiaceae	Mangifera 	indica	x							India	Divakar, 2015	D
Pteropus giganteus	Anacardiaceae	Mangifera 	indica	x							India	Raza and Ilyas, 2018	D, FM
Pteropus giganteus	Anacardiaceae	Mangifera	indica	x							Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Anacardiaceae	Mangifera	indica	x							Myanmar	Aung and Htay, 2019	D
Pteropus giganteus	Anacardiaceae	Mangifera	indica		x						Nepal	Tiwari et al,. 2019	D
Pteropus giganteus	Anacardiaceae	Mangifera	indica		x						Pakistan	Mahmood-Ul-Hassan et al., 2010	D
Pteropus giganteus	Anacardiaceae	Mangifera	indica		x						Pakistan	Mahmood-Ul-Hassan et al., 2011	C
Pteropus giganteus	Anacardiaceae	Mangifera	indica	x							Pakistan	Javid et al., 2017	D
Pteropus giganteus	Anacardiaceae	Mangifera	indica	unknown							Pakistan	Gulraiz et al., 2015	D
Pteropus giganteus	Anacardiaceae	Pistacia	chinensis		x						Pakistan	Mahmood-Ul-Hassan et al., 2010	D
Pteropus giganteus	Anacardiaceae	Pistacia	chinensis	x							Pakistan	Javid et al., 2017	D, FM
Pteropus giganteus	Annonaceae	Annona	reticulata	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Annonaceae	Annona	squamosa	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Annonaceae	Polyalthia	latifolia (laterifolia?)	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Annonaceae	Polyalthia	longifolia	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Annonaceae	Polyalthia	longifolia	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Annonaceae	Polyalthia  	longifolia	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Annonaceae	Polyalthia  	longifolia	x							India	Raza and Ilyas, 2018	D, FM
Pteropus giganteus	Annonaceae	Polyalthia	longifolia	x	x						Pakistan	Mahmood-Ul-Hassan et al., 2010	D
Pteropus giganteus	Annonaceae	Polyalthia	longifolia	x							Pakistan	Javid et al., 2017	D
Pteropus giganteus	Apiaceae	unknown	unknown		x						Nepal	Tiwari et al,. 2019	D
Pteropus giganteus	Apocynaceae	Nerium 	oleander	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Asteraceae	unknown	unknown		x						Nepal	Tiwari et al,. 2019	D
Pteropus giganteus	Arecaceae	Areca	catechu	x							India	Chakravarthy and Girish, 2003	C, FM
Pteropus giganteus	Arecaceae	Areca 	catechu 	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Arecaceae	Areca	catechu	x							Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Arecaceae	Areca	catechu	x			x				Pakistan	Mahmood-Ul-Hassan et al., 2010	D
Pteropus giganteus	Arecaceae	Areca	catechu	x			x				Pakistan	Gulraiz et al., 2016	D
Pteropus giganteus	Arecaceae	Areca	catechu	x							Pakistan	Javid et al., 2017	D
Pteropus giganteus	Arecaceae	Borassus	flabellifer	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Arecaceae	Borassus	flabellifer	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Arecaceae	Borassus	flabellifer	Toddy							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Arecaceae	Borassus 	flabellifer	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Arecaceae	Caryota 	urens	x							India	Divakar, 2015	D
Pteropus giganteus	Arecaceae	Livistona	chinensis	x							Pakistan	Gulraiz et al., 2016	D
Pteropus giganteus	Arecaceae	Livistona	chinensis	x							Pakistan	Javid et al., 2017	D
Pteropus giganteus	Arecaceae	Phoenix	dactylifera	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Arecaceae	Phoenix	dactylifera	x							Pakistan	Mahmood-Ul-Hassan et al., 2011	C
Pteropus giganteus	Arecaceae	Phoenix	sylvestris							x	Bangladesh	Khan et al., 2010	C
Pteropus giganteus	Arecaceae	Phoenix	sylvestris							x	Bangladesh	Luby et al., 2006	C
Pteropus giganteus	Asteraceae	Helianthus	anuus		x						Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Betulaceae	Corylus	spp.		x						Nepal	Tiwari et al,. 2019	D
Pteropus giganteus	Bignoniaceae	Kigelia	africana	unknown							Pakistan	Gulraiz et al., 2015	D
Pteropus giganteus	Bignoniaceae	Kigelia	africana		x						Pakistan	Mahmood-Ul-Hassan et al., 2010	D
Pteropus giganteus	Bignoniaceae	Kigelia	africana	x							Pakistan	Javid et al., 2017	D
Pteropus giganteus	Bignoniaceae	Oroxylum	indicum	x	x						Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Bixaceae	Cochlospermum 	religiosum		x						India	Erancheri et al., 2013	P
Pteropus giganteus	Boraginaceae	Ehretia	acuminata	x							Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Brassicaceae	unknown	unknown		x						Nepal	Tiwari et al,. 2019	D
Pteropus giganteus	Caricaceae	Carica 	papaya	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Caricaceae	Carica	papaya	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Caricaceae	Carica 	papaya	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Caricaceae	Carica 	papaya	x							India	Divakar, 2015	D
Pteropus giganteus	Caricaceae	Carica 	papaya	x		x					India	Krishnarathi and Isaac, 2016	D
Pteropus giganteus	Caricaceae	Carica	papaya	x							Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Clusiaceae	Calophyllum 	inophyllum	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Clusiaceae	Calophyllum	inophyllum	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Clusiaceae	Calophyllum	inophyllum	x							Myanmar	Win and Mya, 2015	D
Pteropus giganteus	Clusiaceae	Calophyllum	inophyllum	x							Myanmar	Aung and Htay, 2019	D
Pteropus giganteus	Combretaceae	Terminalia 	arjuna	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Combretaceae	Terminalia 	catappa	x							India	Vendan and Kaleeswaran, 2011	SD, SG
Pteropus giganteus	Combretaceae	Terminalia	catappa	x							India	Sudhakaran and Doss, 2012	D, FM
Pteropus giganteus	Combretaceae	Terminalia 	catappa	x							India	Prasad et al., 2014	D, FM, SD
Pteropus giganteus	Combretaceae	Terminalia 	catappa	x							India	Divakar, 2015	D
Pteropus giganteus	Combretaceae	Terminalia 	catappa	x							Myanmar	Aung and Htay, 2019	D
Pteropus giganteus	Combretaceae	Terminalia	catappa	x							Pakistan	Javid et al., 2017	D
