Pteropodid-Plant Interactions Database 1985-2020													
S.A. Aziz, K.R. McConkey, K. Tanalgo, T. Sritongchuay, M-R. Low, J.Y. Yong, T.L. Mildenstein, C.E Nuevo-Diego, V.C. Lim & P.A. Racey													
													
Fr = fruit (including fig syconia); Fl = flower (including nectar and/or pollen); L = leaf; Se = seed ingested; B = bark; T = twigs; Sa = sap													
C = conflict; D = diet; FM = foraging movement; P = pollination; SD = seed dispersal; SG = seed/spore germination ; NOTE that 'aspect studied/recorded/observed' does not necessarily mean the bat was confirmed as playing that role.													
NB: Genus or species epithets followed by (?) are those that were either not found in theplantlist.org or are unresolved, and could not be definitively identified or confirmed.													
													
Pteropodid species	Plant family	Plant genus	Plant species	Fr	Fl	L	Se	B	T	Sa	Country/ Region	Reference	Aspect studied/recorded/observed
Cynopterus brachyotis	Fabaceae	Cassia	fistula		x	x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	fusca			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	orientalis			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	sp.			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	subumbrans			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	variegata			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Parkia	javanica		x						Malaysia (Peninsula)	Fletcher et al., 2012	D, FM
Cynopterus brachyotis	Fabaceae	Parkia	speciosa		x						Thailand	Stewart et al., 2014	D, FM
Cynopterus brachyotis	Fabaceae	Parkia	speciosa		x						Thailand	Stewart and Dudash, 2017b	P
Cynopterus brachyotis	Fabaceae	Parkia	timoriana		x						Thailand	Stewart and Dudash, 2017b	P
Cynopterus brachyotis	Fabaceae	Parkia	roxburghii	x							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Fabaceae	Parkia	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Cynopterus brachyotis	Fabaceae	Parkia	spp.		x						Thailand	Stewart and Dudash, 2018	D, FM
Cynopterus brachyotis	Fabaceae	Peltophorum	pterocarpum			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Saraca	sp.	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Fabaceae	Senna	spectabilis		x	x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Sindora	coriacea	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Gentianaceae	Fagraea	crenulata	x			x				Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Gentianaceae	Fagraea	fragrans	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Gentianaceae	Fagraea	fragrans	x			x				Singapore	Phua and Corlett, 1989	D, SD
Cynopterus brachyotis	Gentianaceae	Fagraea	fragrans	x			x				Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Gnetaceae	Gnetum	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Lamiaceae	Clerodendrum	laevifolium	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Lamiaceae	Gmelina	arborea	x							Indonesia (Java)	Sheherazade et al., 2017	D, FM
Cynopterus brachyotis	Lauraceae	unknown	unknown	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Loranthaceae	Dendrophthoe	pentandra	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Loranthaceae	Dendrophthoe	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Loranthaceae	Helixanthera	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Lythraceae	Sonneratia	alba		x						Malaysia (Peninsula)	Nor Zalipah, 2014	P
Cynopterus brachyotis	Lythraceae	Sonneratia	caseolaris		x						Malaysia (Peninsula)	Nor Zalipah, 2014	P
Cynopterus brachyotis	Lythraceae	Sonneratia	ovata		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Cynopterus brachyotis	Lythraceae	Sonneratia	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Cynopterus brachyotis	Lythraceae	Sonneratia	spp.		x						Thailand	Stewart and Dudash, 2018	D, FM
Cynopterus brachyotis	Malvaceae	Bombax	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Malvaceae	Ceiba	pentandra		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Cynopterus brachyotis	Malvaceae	Ceiba	pentandra		x						Thailand	Bumrungsri et al., 2007	D, FM
Cynopterus brachyotis	Malvaceae	Ceiba	pentandra		x						Thailand	Stewart and Dudash, 2017b	P
Cynopterus brachyotis	Malvaceae	Ceiba	pentandra		x						Thailand	Stewart and Dudash, 2018	D, FM
Cynopterus brachyotis	Malvaceae	Cola	sp.	x			x				Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Malvaceae	Durio	zibethinus		x						Malaysia (Peninsula)	Funakoshi and Zubaid, 1997	D
Cynopterus brachyotis	Malvaceae	Durio	zibethinus		x						Malaysia (Peninsula)	Fletcher et al., 2012	D, FM
Cynopterus brachyotis	Malvaceae	Durio	zibethinus		x						Thailand	Stewart et al., 2014	D, FM
Cynopterus brachyotis	Malvaceae	Durio	zibethinus		x						Thailand	Stewart and Dudash, 2017b	P
Cynopterus brachyotis	Malvaceae	Durio	zibethinus		x						Thailand	Stewart and Dudash, 2018	D, FM
Cynopterus brachyotis	Malvaceae	Durio	zibethinus	unknown							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Malvaceae	Durio	sp.		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Cynopterus brachyotis	Malvaceae	Durio	sp.	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Malvaceae	Microcos	stylocarpa (triflora?)	x							Philippines (Negros)	Hamann and Curio, 1999	FM
Cynopterus brachyotis	Malvaceae	Microcos	tomentosa	x							Indonesia (Java)	Sheherazade et al., 2017	D, FM
Cynopterus brachyotis	Malvaceae	Microcos	tomentosa	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Melastomataceae	Memecylon	amplexicaule	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Melastomataceae	Memecylon	caeruleum	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Melastomataceae	Pternandra	echinata	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Melastomataceae	Pternandra	echinata	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Melastomataceae	Pternandra	echinata	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Cynopterus brachyotis	Melastomataceae	Pternandra	echinata	x			x				Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Meliaceae	Sandoricum	koetjape	x							Thailand	Stewart et al., 2014	D, FM
Cynopterus brachyotis	Moraceae	Artocarpus	fulvicortex			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Moraceae	Artocarpus	maingayi	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Moraceae	Artocarpus	maingayi	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Moraceae	Artocarpus	maingayi	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Moraceae	Ficus	aurata	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Moraceae	Ficus	benjamina	x							Indonesia (Java)	Sheherazade et al., 2017	D, SD
Cynopterus brachyotis	Moraceae	Ficus	benjamina	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Moraceae	Ficus	benjamina	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Moraceae	Ficus	binnendijkii	x	x						Indonesia (Java)	Sheherazade et al., 2017	D, SD
Cynopterus brachyotis	Moraceae	Ficus	callosa	x							Indonesia (Java)	Sheherazade et al., 2017	D, SD
Cynopterus brachyotis	Moraceae	Ficus	congesta	x							Philippines (Negros)	Hamann and Curio, 1999	FM
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x			x				Singapore	Phua and Corlett, 1989	D, SD
Cynopterus brachyotis	Moraceae	Ficus	fistulosa	x			x				Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Moraceae	Ficus	forstenii	x							Philippines (Mindanao)	Aribal et al., 2016	D, FM
Cynopterus brachyotis	Moraceae	Ficus	globosa	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Cynopterus brachyotis	Moraceae	Ficus	grossularioides	x			x				Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Moraceae	Ficus	heteropleura	x							Philippines (Negros)	Hamann and Curio, 1999	FM
Cynopterus brachyotis	Moraceae	Ficus	heteropoda	x							Philippines (Negros)	Hamann and Curio, 1999	FM
Cynopterus brachyotis	Moraceae	Ficus	hispida	x							Indonesia (Java)	Sheherazade et al., 2017	D, FM, SD
Cynopterus brachyotis	Moraceae	Ficus	hispida	x							Malaysia (Peninsula)	Hodgkison et al., 2007	FM
